QUOTE;AUTHOR;GENRE
I don't feel old. I don't feel anything till noon. That's when it's time for my nap.;Bob Hope;age
As I approve of a youth that has something of the old man in him, so I am no less pleased with an old man that has something of the youth. He that follows this rule may be old in body, but can never be so in mind.;Marcus Tullius Cicero;age
I don't believe one grows older. I think that what happens early on in life is that at a certain age one stands still and stagnates.;T. S. Eliot;age
Advice in old age is foolish for what can be more absurd than to increase our provisions for the road the nearer we approach to our journey's end.;Marcus Tullius Cicero;age
When grace is joined with wrinkles, it is adorable. There is an unspeakable dawn in happy old age.;Victor Hugo;age
It takes a long time to become young.;Pablo Picasso;age
After thirty, a body has a mind of its own.;Bette Midler;age
There is a fountain of youth: it is your mind, your talents, the creativity you bring to your life and the lives of people you love. When you learn to tap this source, you will truly have defeated age.;Sophia Loren;age
Age is not a particularly interesting subject. Anyone can get old. All you have to do is live long enough.;Don Marquis;age
Old minds are like old horses you must exercise them if you wish to keep them in working order.;John Adams;age
Forty is the old age of youth, fifty is the youth of old age.;Hosea Ballou;age
Youth is the gift of nature, but age is a work of art.;Stanislaw Lec;age
Preparation for old age should begin not later than one's teens. A life which is empty of purpose until 65 will not suddenly become filled on retirement.;Dwight L. Moody;age
There is always some specific moment when we become aware that our youth is gone but, years after, we know it was much later.;Mignon McLaughlin;age
Growing old is no more than a bad habit which a busy person has no time to form.;Andre Maurois;age
As long as any adult thinks that he, like the parents and teachers of old, can become introspective, invoking his own youth to understand the youth before him, he is lost.;Margaret Mead;age
Old age is fifteen years older than I am.;Oliver Wendell Holmes;age
Aging is not lost youth but a new stage of opportunity and strength.;Betty Friedan;age
The great secret that all old people share is that you really haven't changed in seventy or eighty years. Your body changes, but you don't change at all. And that, of course, causes great confusion.;Doris Lessing;age
The trick is growing up without growing old.;Casey Stengel;age
Old age comes on suddenly, and not gradually as is thought.;Emily Dickinson;age
I think your whole life shows in your face and you should be proud of that.;Lauren Bacall;age
I'm happy to report that my inner child is still ageless.;James Broughton;age
Youth is the best time to be rich, and the best time to be poor.;Euripides;age
It is sad to grow old but nice to ripen.;Brigitte Bardot;age
One of the many things nobody ever tells you about middle age is that it's such a nice change from being young.;William Feather;age
After you're older, two things are possibly more important than any others: health and money.;Helen Gurley Brown;age
You end up as you deserve. In old age you must put up with the face, the friends, the health, and the children you have earned.;Judith Viorst;age
I'm not interested in age. People who tell me their age are silly. You're as old as you feel.;Henri Frederic Amiel;age
Inflation is when you pay fifteen dollars for the ten-dollar haircut you used to get for five dollars when you had hair.;Sam Ewing;age
My notion of a wife at 40 is that a man should be able to change her, like a bank note, for two 20s.;Warren Beatty;age
As you age naturally, your family shows more and more on your face. If you deny that, you deny your heritage.;Frances Conroy;age
Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.;Golda Meir;age
In youth the days are short and the years are long. In old age the years are short and day's long.;Pope Paul VI;age
The aging process has you firmly in its grasp if you never get the urge to throw a snowball.;Doug Larson;age
Age is how we determine how valuable you are.;Jane Elliot;age
Middle age is when your age starts to show around your middle.;Bob Hope;age
Aging seems to be the only available way to live a long life.;Kitty O'Neill Collins;age
I think when the full horror of being fifty hits you, you should stay home and have a good cry.;Josh Billings;age
To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent that is to triumph over old age.;Amos Bronson Alcott;age
If you're old, don't try to change yourself, change your environment.;B. F. Skinner;age
Old age is an excellent time for outrage. My goal is to say or do at least one outrageous thing every week.;Louis Kronenberger;age
I want to get old gracefully. I want to have good posture, I want to be healthy and be an example to my children.;Sting;age
You know you're getting old when all the names in your black book have M. D. after them.;Harrison Ford;age
What makes old age so sad is not that our joys but our hopes cease.;Jean Paul;age
Old age is a shipwreck.;Charles de Gaulle;age
While one finds company in himself and his pursuits, he cannot feel old, no matter what his years may be.;Amos Bronson Alcott;age
To resist the frigidity of old age, one must combine the body, the mind, and the heart. And to keep these in parallel vigor one must exercise, study, and love.;Alan Bleasdale;age
Old age is the most unexpected of all the things that can happen to a man.;James Thurber;age
No one can avoid aging, but aging productively is something else.;Katharine Graham;age
If you haven't turned rebel by twenty you've got no heart if you haven't turned establishment by thirty you've got no brains!;Kevin Spacey;age
Oh rage! Oh despair! Oh age, my enemy!;Pierre Corneille;age
I don't want to fight aging I want to take good care of myself, but plastic surgery and all that? I'm not interested.;Christine Lahti;age
Middle age is the time when a man is always thinking that in a week or two he will feel as good as ever.;Don Marquis;age
We should so provide for old age that it may have no urgent wants of this world to absorb it from meditation on the next. It is awful to see the lean hands of dotage making a coffer of the grave.;Pearl S. Buck;age
Middle age is the awkward period when Father Time starts catching up with Mother Nature.;Harold Coffin;age
Middle age is youth without levity, and age without decay.;Doris Day;age
No man is ever old enough to know better.;Holbrook Jackson;age
The denunciation of the young is a necessary part of the hygiene of older people, and greatly assists the circulation of the blood.;Logan P. Smith;age
In youth we run into difficulties. In old age difficulties run into us.;Beverly Sills;age
We pay when old for the excesses of youth.;J. B. Priestley;age
The answer to old age is to keep one's mind busy and to go on with one's life as if it were interminable. I always admired Chekhov for building a new house when he was dying of tuberculosis.;Leon Edel;age
We've put more effort into helping folks reach old age than into helping them enjoy it.;Frank A. Clark;age
The real sadness of fifty is not that you change so much but that you change so little.;Max Lerner;age
I'm not afraid of aging.;Shelley Duvall;age
He has a profound respect for old age. Especially when it's bottled.;Gene Fowler;age
Whatever poet, orator or sage may say of it, old age is still old age.;Sinclair Lewis;age
To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent - that is to triumph over old age.;Thomas Bailey Aldrich;age
In old age we are like a batch of letters that someone has sent. We are no longer in the past, we have arrived.;Knut Hamsun;age
There's no such thing as old age, there is only sorrow.;Fay Weldon;age
Those who love deeply never grow old they may die of old age, but they die young.;Dorothy Canfield Fisher;age
I get all fired up about aging in America.;Willard Scott;age
The really frightening thing about middle age is the knowledge that you'll grow out of it.;Doris Day;age
There is an anti-aging possibility, but it has to come from within.;Susan Anton;age
The lovely thing about being forty is that you can appreciate twenty-five-year-old men more.;Colleen McCullough;age
When a noble life has prepared old age, it is not decline that it reveals, but the first days of immortality.;Muriel Spark;age
The whole business of marshaling one's energies becomes more and more important as one grows older.;Hume Cronyn;age
The tendency of old age to the body, say the physiologists, is to form bone. It is as rare as it is pleasant to meet with an old man whose opinions are not ossified.;Bob Wells;age
Old age adds to the respect due to virtue, but it takes nothing from the contempt inspired by vice it whitens only the hair.;Ira Gershwin;age
As men get older, the toys get more expensive.;Marvin Davis;age
I find that a man is as old as his work. If his work keeps him from moving forward, he will look forward with the work.;William Ernest Hocking;age
Common sense is the collection of prejudices acquired by age eighteen.;Albert Einstein;age
Reading, after a certain age, diverts the mind too much from its creative pursuits. Any man who reads too much and uses his own brain too little falls into lazy habits of thinking.;Albert Einstein;age
Confusion of goals and perfection of means seems, in my opinion, to characterize our age.;Albert Einstein;age
Perfection of means and confusion of ends seem to characterize our age.;Albert Einstein;age
The age of a woman doesn't mean a thing. The best tunes are played on the oldest fiddles.;Ralph Waldo Emerson;age
Life would be infinitely happier if we could only be born at the age of eighty and gradually approach eighteen.;Mark Twain;age
A stockbroker urged me to buy a stock that would triple its value every year. I told him, 'At my age, I don't even buy green bananas.';Claude Pepper;age
When marrying, ask yourself this question: Do you believe that you will be able to converse well with this person into your old age? Everything else in marriage is transitory.;Friedrich Nietzsche;age
Probably the happiest period in life most frequently is in middle age, when the eager passions of youth are cooled, and the infirmities of age not yet begun as we see that the shadows, which are at morning and evening so large, almost entirely disappear at midday.;Eleanor Roosevelt;age
Age is whatever you think it is. You are as old as you think you are.;Muhammad Ali;age
As human beings, our greatness lies not so much in being able to remake the world - that is the myth of the atomic age - as in being able to remake ourselves.;Mahatma Gandhi;age
A man loves the meat in his youth that he cannot endure in his age.;William Shakespeare;age
In every country and every age, the priest had been hostile to Liberty.;Thomas Jefferson;age
The heresy of one age becomes the orthodoxy of the next.;Helen Keller;age
The golden age is before us, not behind us.;William Shakespeare;age
Every formula of every religion has in this age of reason, to submit to the acid test of reason and universal assent.;Mahatma Gandhi;age
Thomas Jefferson once said, 'We should never judge a president by his age, only by his works.' And ever since he told me that, I stopped worrying.;Ronald Reagan;age
No woman should ever be quite accurate about her age. It looks so calculating.;Oscar Wilde;age
At twenty years of age the will reigns at thirty, the wit and at forty, the judgment.;Benjamin Franklin;age
Age does not protect you from love. But love, to some extent, protects you from age.;Anais Nin;age
Information is the oxygen of the modern age. It seeps through the walls topped by barbed wire, it wafts across the electrified borders.;Ronald Reagan;age
Old age is just a record of one's whole life.;Muhammad Ali;age
We prefer world law in the age of self-determination to world war in the age of mass extermination.;John F. Kennedy;age
Each age, it is found, must write its own books or rather, each generation for the next succeeding.;Ralph Waldo Emerson;age
Education is the best provision for old age.;Aristotle;age
The secret of staying young is to live honestly, eat slowly, and lie about your age.;Lucille Ball;age
Sometimes I think it would be easier to avoid old age, to die young, but then you'd never complete your life, would you? You'd never wholly know you.;Marilyn Monroe;age
I don't think of myself as a poor deprived ghetto girl who made good. I think of myself as somebody who from an early age knew I was responsible for myself, and I had to make good.;Oprah Winfrey;age
The kids are old enough now - I just want to let them be kids. I don't want to comment on them too much. They're at an age where I just want to let them be kids.;Eminem;age
He who is of calm and happy nature will hardly feel the pressure of age, but to him who is of an opposite disposition youth and age are equally a burden.;Plato;age
Why should society feel responsible only for the education of children, and not for the education of all adults of every age?;Erich Fromm;age
I've got volumes on how not to behave. I've got more information now than a guy should have at my age.;Charlie Sheen;age
I'm at the age where food has taken the place of sex in my life. In fact, I've just had a mirror put over my kitchen table.;Rodney Dangerfield;age
Age is something that doesn't matter, unless you are a cheese.;Luis Bunuel;age
Hesitation increases in relation to risk in equal proportion to age.;Ernest Hemingway;age
Books were my pass to personal freedom. I learned to read at age three, and soon discovered there was a whole world to conquer that went beyond our farm in Mississippi.;Oprah Winfrey;age
In our age there is no such thing as 'keeping out of politics.' All issues are political issues, and politics itself is a mass of lies, evasions, folly, hatred and schizophrenia.;George Orwell;age
I must confess, I was born at a very early age.;Groucho Marx;age
The secret of genius is to carry the spirit of the child into old age, which mean never losing your enthusiasm.;Aldous Huxley;age
It is utterly false and cruelly arbitrary to put all the play and learning into childhood, all the work into middle age, and all the regrets into old age.;Margaret Mead;age
We aren't in an information age, we are in an entertainment age.;Tony Robbins;age
To me - old age is always ten years older than I am.;John Burroughs;age
Age is not important unless you're a cheese.;Helen Hayes;age
No matter what age you are, or what your circumstances might be, you are special, and you still have something unique to offer. Your life, because of who you are, has meaning.;Barbara de Angelis;age
A woman has the age she deserves.;Coco Chanel;age
The older I grow the more I distrust the familiar doctrine that age brings wisdom.;H. L. Mencken;age
Youngsters of the age of two and three are endowed with extraordinary strength. They can lift a dog twice their own weight and dump him into the bathtub.;Erma Bombeck;age
He who has not the spirit of this age, has all the misery of it.;Voltaire;age
Instead of being presented with stereotypes by age, sex, color, class, or religion, children must have the opportunity to learn that within each range, some people are loathsome and some are delightful.;Margaret Mead;age
I think being able to age gracefully is a very important talent. It is too late for me.;Clint Eastwood;age
Error is acceptable as long as we are young but one must not drag it along into old age.;Johann Wolfgang von Goethe;age
Age wrinkles the body. Quitting wrinkles the soul.;Douglas MacArthur;age
I don't need you to remind me of my age. I have a bladder to do that for me.;Stephen Fry;age
Talk is by far the most accessible of pleasures. It costs nothing in money, it is all profit, it completes our education, founds and fosters our friendships, and can be enjoyed at any age and in almost any state of health.;Robert Louis Stevenson;age
Men of age object too much, consult too long, adventure too little, repent too soon, and seldom drive business home to the full period, but content themselves with a mediocrity of success.;Dale Carnegie;age
Better pass boldly into that other world, in the full glory of some passion, than fade and wither dismally with age.;James Joyce;age
Age merely shows what children we remain.;Johann Wolfgang von Goethe;age
Each moment of a happy lover's hour is worth an age of dull and common life.;Aphra Behn;age
The credit of advancing science has always been due to individuals and never to the age.;Johann Wolfgang von Goethe;age
Dressing up is a bore. At a certain age, you decorate yourself to attract the opposite sex, and at a certain age, I did that. But I'm past that age.;Katharine Hepburn;age
I was born at the age of twelve on an MGM lot.;Judy Garland;age
A woman telling her true age is like a buyer confiding his final price to an Armenian rug dealer.;Mignon McLaughlin;age
How young can you die of old age?;Steven Wright;age
Legend: A lie that has attained the dignity of age.;H. L. Mencken;age
Age does not protect you from love. But love, to some extent, protects you from age.;Jeanne Moreau;age
Every great architect is - necessarily - a great poet. He must be a great original interpreter of his time, his day, his age.;Frank Lloyd Wright;age
At the age of six I wanted to be a cook. At seven I wanted to be Napoleon. And my ambition has been growing steadily ever since.;Salvador Dali;age
Middle age is when you're sitting at home on a Saturday night and the telephone rings and you hope it isn't for you.;Ogden Nash;age
If youth knew if age could.;Sigmund Freud;age
I think the biggest disease the world suffers from in this day and age is the disease of people feeling unloved. I know that I can give love for a minute, for half an hour, for a day, for a month, but I can give. I am very happy to do that, I want to do that.;Princess Diana;age
The charm of history and its enigmatic lesson consist in the fact that, from age to age, nothing changes and yet everything is completely different.;Aldous Huxley;age
Men are like wine - some turn to vinegar, but the best improve with age.;Pope John XXIII;age
I created Punk for this day and age. Do you see Britney walking around wearing ties and singing punk? Hell no. That's what I do. I'm like a Sid Vicious for a new generation.;Avril Lavigne;age
We are all geniuses up to the age of ten.;Aldous Huxley;age
It is well for the world that in most of us, by the age of thirty, the character has set like plaster, and will never soften again.;William James;age
Every age has its own poetry in every age the circumstances of history choose a nation, a race, a class to take up the torch by creating situations that can be expressed or transcended only through poetry.;Jean-Paul Sartre;age
Old age is not a matter for sorrow. It is matter for thanks if we have left our work done behind us.;Thomas Carlyle;age
I suppose when they reach a certain age some men are afraid to grow up. It seems the older the men get, the younger their new wives get.;Elizabeth Taylor;age
Sex at age 90 is like trying to shoot pool with a rope.;George Burns;age
Publishing is in a kind of Jurassic age.;Paulo Coelho;age
Age is just a number. It's totally irrelevant unless, of course, you happen to be a bottle of wine.;Joan Collins;age
Whatever you may look like, marry a man your own age - as your beauty fades, so will his eyesight.;Phyllis Diller;age
Youth has no age.;Pablo Picasso;age
Youth is a blunder Manhood a struggle, Old Age a regret.;Benjamin Disraeli;age
To teach how to live without certainty and yet without being paralysed by hesitation is perhaps the chief thing that philosophy, in our age, can do for those who study it.;Bertrand Russell;age
It is possible that mankind is on the threshold of a golden age but, if so, it will be necessary first to slay the dragon that guards the door, and this dragon is religion.;Bertrand Russell;age
Nobody expects to trust his body overmuch after the age of fifty.;Alexander Hamilton;age
Old age realizes the dreams of youth: look at Dean Swift in his youth he built an asylum for the insane, in his old age he was himself an inmate.;Soren Kierkegaard;age
In youth we learn in age we understand.;Marie von Ebner-Eschenbach;age
Believe me, that was a happy age, before the days of architects, before the days of builders.;Lucius Annaeus Seneca;age
I have the problems of, I must confess, old age.;Billy Graham;age
Not just in commerce but in the world of ideas too our age is putting on a veritable clearance sale. Everything can be had so dirt cheap that one begins to wonder whether in the end anyone will want to make a bid.;Soren Kierkegaard;age
Bad news isn't wine. It doesn't improve with age.;Colin Powell;age
It were a real increase of human happiness, could all young men from the age of nineteen be covered under barrels, or rendered otherwise invisible and there left to follow their lawful studies and callings, till they emerged, sadder and wiser, at the age of twenty-five.;Thomas Carlyle;age
People who refuse to rest honorably on their laurels when they reach retirement age seem very admirable to me.;Helen Hayes;age
Not to expose your true feelings to an adult seems to be instinctive from the age of seven or eight onwards.;George Orwell;age
The heart never grows better by age I fear rather worse, always harder. A young liar will be an old one, and a young knave will only be a greater knave as he grows older.;Lord Chesterfield;age
For age is opportunity no less Than youth itself, though in another dress, And as the evening twilight fades away The sky is filled with stars, invisible by day.;Henry Wadsworth Longfellow;age
Age is a case of mind over matter. If you don't mind, it don't matter.;Satchel Paige;age
Have regular hours for work and play make each day both useful and pleasant, and prove that you understand the worth of time by employing it well. Then youth will be delightful, old age will bring few regrets, and life will become a beautiful success.;Louisa May Alcott;age
Admiration of the proletariat, like that of dams, power stations, and aeroplanes, is part of the ideology of the machine age.;Bertrand Russell;age
But the age of chivalry is gone. That of sophisters, economists, and calculators has succeeded and the glory of Europe is extinguished forever.;Edmund Burke;age
Childhood: the period of human life intermediate between the idiocy of infancy and the folly of youth - two removes from the sin of manhood and three from the remorse of age.;Ambrose Bierce;age
Experience is a revelation in the light of which we renounce our errors of youth for those of age.;Ambrose Bierce;age
My view is that at a younger age your optimism is more and you have more imagination etc. You have less bias.;Abdul Kalam;age
The ruling ideas of each age have ever been the ideas of its ruling class.;Karl Marx;age
In the information age, you don't teach philosophy as they did after feudalism. You perform it. If Aristotle were alive today he'd have a talk show.;Timothy Leary;age
Once I planned to write a book of poems entirely about the things in my pocket. But I found it would be too long and the age of the great epics is past.;Gilbert K. Chesterton;age
The harvest of old age is the recollection and abundance of blessing previously secured.;Marcus Tullius Cicero;age
It is the spirit of the age to believe that any fact, no matter how suspect, is superior to any imaginative exercise, no matter how true.;Gore Vidal;age
The arrogance of age must submit to be taught by youth.;Edmund Burke;age
The biggest disease this day and age is that of people feeling unloved.;Princess Diana;age
Old age: the crown of life, our play's last act.;Marcus Tullius Cicero;age
I think women should start to embrace their age. What's the alternative to getting older? You die. I can't change the day I was born. But I can take care of my skin, my body, my mind, and try to live my life and be happy.;Olivia Munn;age
Age is getting to know all the ways the world turns, so that if you cannot turn the world the way you want, you can at least get out of the way so you won't get run over.;Miriam Makeba;age
Few women, I fear, have had such reason as I have to think the long sad years of youth were worth living for the sake of middle age.;Dwight D. Eisenhower;age
One crowded hour of glorious life is worth an age without a name.;Walter Scott;age
Wives are young men's mistresses, companions for middle age, and old men's nurses.;Francis Bacon;age
Wisdom doesn't necessarily come with age. Sometimes age just shows up all by itself.;Tom Wilson;age
It is a blessed thing that in every age some one has had the individuality enough and courage enough to stand by his own convictions.;Robert Green Ingersoll;age
And in my own life, in my own small way, I've tried to give back to this country that has given me so much. That's why I left a job at a law firm for a career in public service, working to empower young people to volunteer in their communities. Because I believe that each of us - no matter what our age or background or walk of life - each of us has something to contribute to the life of this nation.;Michelle Obama;age
No lying knight or lying priest ever prospered in any age, but especially not in the dark ones. Men prospered then only in following an openly declared purpose, and preaching candidly beloved and trusted creeds.;John Ruskin;age
A man does not die of love or his liver or even of old age he dies of being a man.;Miguel de Unamuno;age
It is with an old love as it is with old age a man lives to all the miseries, but is dead to all the pleasures.;Francois de La Rochefoucauld;age
I cried on my 18th birthday. I thought 17 was such a nice age. You're young enough to get away with things, but you're old enough, too.;Liv Tyler;age
We live in an age when to be young and to be indifferent can be no longer synonymous. We must prepare for the coming hour. The claims of the Future are represented by suffering millions and the Youth of a Nation are the trustees of Posterity.;Benjamin Disraeli;age
Age shouldn't affect you. It's just like the size of your shoes - they don't determine how you live your life! You're either marvellous or you're boring, regardless of your age.;Steven Morrissey;age
Rashness belongs to youth prudence to old age.;Marcus Tullius Cicero;age
Many believe - and I believe - that I have been designated for this work by God. In spite of my old age, I do not want to give it up I work out of love for God and I put all my hope in Him.;Michelangelo;age
Old age is a tyrant, who forbids, under pain of death, the pleasures of youth.;Francois de La Rochefoucauld;age
The defects of the mind, like those of the face, grow worse with age.;Francois de La Rochefoucauld;age
The enemy of society is middle class and the enemy of life is middle age.;Orson Welles;age
Some say that the age of chivalry is past, that the spirit of romance is dead. The age of chivalry is never past, so long as there is a wrong left unredressed on earth.;Charles Kingsley;age
Man has no Body distinct from his Soul for that called Body is a portion of Soul discerned by the five Senses, the chief inlets of Soul in this age.;William Blake;age
Do you remember when you were 10 or 11 years old and you really thought your folks were the best? They were completely omniscient and you took their word for everything. And then you got older and you went through this hideous age when suddenly they were the devil, they were bullies, and they didn't know anything.;Chuck Palahniuk;age
This is the patent age of new inventions for killing bodies, and for saving souls. All propagated with the best intentions.;Lord Byron;age
The mind that is wise mourns less for what age takes away than what it leaves behind.;William Wordsworth;age
The age of chivalry is past. Bores have succeeded to dragons.;Charles Dickens;age
Anything you cannot relinquish when it has outlived its usefulness possesses you, and in this materialistic age a great many of us are possessed by our possessions.;Peace Pilgrim;age
Like many women my age, I am 28 years old.;Mary Schmich;age
Life, an age to the miserable, and a moment to the happy.;Francis Bacon;age
We are always the same age inside.;Gertrude Stein;age
I am, as I've said, merely competent. But in an age of incompetence, that makes me extraordinary.;Billy Joel;age
Swing voters are more appropriately known as the 'idiot voters' because they have no set of philosophical principles. By the age of fourteen, you're either a Conservative or a Liberal if you have an IQ above a toaster.;Ann Coulter;age
If you live to be one hundred, you've got it made. Very few people die past that age.;George Burns;age
Old age is far more than white hair, wrinkles, the feeling that it is too late and the game finished, that the stage belongs to the rising generations. The true evil is not the weakening of the body, but the indifference of the soul.;Andre Maurois;age
Old age has its pleasures, which, though different, are not less than the pleasures of youth.;W. Somerset Maugham;age
Old age is when the liver spots show through your gloves.;Phyllis Diller;age
There is no absurdity so palpable but that it may be firmly planted in the human head if you only begin to inculcate it before the age of five, by constantly repeating it with an air of great solemnity.;Arthur Schopenhauer;age
Those who improve with age embrace the power of personal growth and personal achievement and begin to replace youth with wisdom, innocence with understanding, and lack of purpose with self-actualization.;Bo Bennett;age
Nearly all the powerful people of this age are unbelievers, the best of them in doubt and misery, the most in plodding hesitation, doing as well as they can, what practical work lies at hand.;John Ruskin;age
What is an adult? A child blown up by age.;Simone de Beauvoir;age
Intelligent life on a planet comes of age when it first works out the reason for its own existence.;Richard Dawkins;age
I am of a healthy long lived race, and our minds improve with age.;William Butler Yeats;age
The wisdom of age: don't stop walking.;Mason Cooley;age
As the age of television progresses the Reagans will be the rule, not the exception. To be perfect for television is all a President has to be these days.;Gore Vidal;age
Before anything else, we need a new age of Enlightenment. Our present political systems must relinquish their claims on truth, justice and freedom and have to replace them with the search for truth, justice, freedom and reason.;Friedrich Durrenmatt;age
Age is strictly a case of mind over matter. If you don't mind, it doesn't matter.;Jack Benny;age
'Age' is the acceptance of a term of years. But maturity is the glory of years.;Martha Graham;age
I think we ought to raise the age at which juveniles can have a gun.;George W. Bush;age
In this age, which believes that there is a short cut to everything, the greatest lesson to be learned is that the most difficult way is, in the long run, the easiest.;Henry Miller;age
A man is a fool if he drinks before he reaches the age of 50, and a fool if he doesn't afterward.;Frank Lloyd Wright;age
There are few things that we so unwillingly give up, even in advanced age, as the supposition that we still have the power of ingratiating ourselves with the fair sex.;Samuel Johnson;age
Age imprints more wrinkles in the mind than it does on the face.;Michel de Montaigne;age
I was confirmed at my prep school at the age of 13.;Richard Dawkins;age
Love has no age, no limit and no death.;John Galsworthy;age
What makes old age hard to bear is not the failing of one's faculties, mental and physical, but the burden of one's memories.;W. Somerset Maugham;age
I have always paid income tax. I object only when it reaches a stage when I am threatened with having nothing left for my old age - which is due to start next Tuesday or Wednesday.;Noel Coward;age
In my youth I stressed freedom, and in my old age I stress order. I have made the great discovery that liberty is a product of order.;Will Durant;age
And I'm afraid, in this day and age, trust, which I count so, you know, I love loyalty. I love trust.;Elton John;age
My dad encouraged us to fail. Growing up, he would ask us what we failed at that week. If we didn't have something, he would be disappointed. It changed my mindset at an early age that failure is not the outcome, failure is not trying. Don't be afraid to fail.;Sara Blakely;age
What is the worst of woes that wait on age? What stamps the wrinkle deeper on the brow? To view each loved one blotted from life's page, And be alone on earth, as I am now.;Lord Byron;age
Age is a matter of feeling, not of years.;Washington Irving;age
A tart temper never mellows with age, and a sharp tongue is the only edged tool that grows keener with constant use.;Washington Irving;age
Canada has a passive-aggressive culture, with a lot of sarcasm and righteousness. That went with my weird messianic complex. The ego is a fascinating monster. I was taught from a young age that I had to serve, so that turned into me thinking I had to save the planet.;Alanis Morissette;age
Discrimination due to age is one of the great tragedies of modern life. The desire to work and be useful is what makes life worth living, and to be told your efforts are not needed because you are the wrong age is a crime.;Johnny Ball;age
An artist must be a reactionary. He has to stand out against the tenor of the age and not go flopping along.;Andre Maurois;age
What turns me on about the digital age, what excited me personally, is that you have closed the gap between dreaming and doing. You see, it used to be that if you wanted to make a record of a song, you needed a studio and a producer. Now, you need a laptop.;Bono;age
I have always felt that a woman has the right to treat the subject of her age with ambiguity until, perhaps, she passes into the realm of over ninety. Then it is better she be candid with herself and with the world.;Carl Sandburg;age
Nice to be here? At my age it's nice to be anywhere.;George Burns;age
Though the Jazz Age continued it became less and less an affair of youth. The sequel was like a children's party taken over by the elders.;F. Scott Fitzgerald;age
Each age has deemed the new-born year the fittest time for festal cheer.;Walter Scott;age
Our age knows nothing but reaction, and leaps from one extreme to another.;Reinhold Niebuhr;age
The philosophies of one age have become the absurdities of the next, and the foolishness of yesterday has become the wisdom of tomorrow.;William Osler;age
I saw no African people in the printed and illustrated Sunday school lessons. I began to suspect at this early age that someone had distorted the image of my people. My long search for the true history of African people the world over began.;John Henrik Clarke;age
In order to fix Social Security, we must restructure it so that we continue to provide for our Nation's seniors that are approaching retirement age, but allow for younger taxpayers to invest a portion of their Social Security taxes in private accounts.;Herman Cain;age
No lie ever reaches old age.;Sophocles;age
I wanted to be a teacher. I love children, so I wanted to deal with children. Then I wanted to be a veterinarian. But by the age of ten or eleven, when I opened my mouth and said, 'Oh, God, what's this?' I kind of knew teaching and being a veterinarian were gonna have to wait.;Whitney Houston;age
This is the curse of our age, even the strangest aberrations are no cure for boredom.;Stendhal;age
If repression has indeed been the fundamental link between power, knowledge, and sexuality since the classical age, it stands to reason that we will not be able to free ourselves from it except at a considerable cost.;Michel Foucault;age
But an old age serene and bright, and lovely as a Lapland night, shall lead thee to thy grave.;William Wordsworth;age
Litigation takes the place of sex at middle age.;Gore Vidal;age
The face you have at age 25 is the face God gave you, but the face you have after 50 is the face you earned.;Cindy Crawford;age
The hallmark of our age is the tension between aspirations and sluggish institutions.;John W. Gardner;age
